Ticker,Description,Last,Change,%,Change,Rating,Volume,Market,Capitalization,Price,to,Earnings,Ratio,(TTM),Basic,EPS,(TTM),Number,of,Employees,Sector
ACET,"Adicet Bio, Inc.",7.09,-6.83311432,-0.52,Sell,158912,225761650.916431,,-4.4518,81,Health,Technology,,,,,,,,,
ACEV,ACE,Convergence,Acquisition,Corp.,9.92,0.3033367,0.03,Neutral,787712,278492303.418182,,-0.8203,4,Finance,,,,,,,
ACGL,Arch,Capital,Group,Ltd.,39.33,1.00154083,0.39,Buy,8084873,15576215188.6647,7.90531308,5.0735,4510,Finance,,,,,,,
ACHC,"Acadia Healthcare Company, Inc.",59.385,-8.15805753,-5.275,Sell,2231186,5336536997.04938,28.29000331,2.1447,42200,Health,Services,,,,,,,,,
ACHV,"Achieve Life Sciences, Inc.",8.26,3.12109863,0.25,Sell,275158,78075361.9901599,,-5.0866,13,Health,Technology,,,,,,,,,
ACI,"Albertsons Companies, Inc.",30.23,0.66600067,0.2,Buy,4987552,14103372848.784,26.63551402,1.2117,300000,Retail,Trade,,,,,,,,,
ACIC,Atlas,Crest,Investment,Corp.,9.75,0.20554985,0.02,Sell,7532830,609375021.805112,830.97345133,0.0113,3,Finance,,,,,,,
ACIU,AC,Immune,SA,6.92,-2.94530154,-0.21,Sell,1525434,502756379.154185,,-1.1305,149,Health,Technology,,,,,,,
ACIW,"ACI Worldwide, Inc.",31.93,-0.37441498,-0.12,Sell,2054960,3751277643.75716,44.13764962,0.749,3768,Technology,Services,,,,,,,,,
ACLS,"Axcelis Technologies, Inc.",49.52,1.66290289,0.81,Buy,564976,1662621218.40488,27.79818069,1.8098,1004,Electronic,Technology,,,,,,,,,
ACM,AECOM,65.87,0.85744909,0.56,Buy,2368318,9489352080.43065,,-0.9207,54000,Industrial,Services,,,,,,,,,
ACMR,"ACM Research, Inc.",101.72,-5.04993933,-5.41,Buy,1235256,1972148676.8747,75.12660113,1.5681,543,Producer,Manufacturing,,,,,,,,,
ACN,Accenture,plc,341.655,-0.07750351,-0.265,Buy,6173241,216655934331.633,38.50746269,9.0955,506000,Technology,Services,,,,,,,,
ACOR,"Acorda Therapeutics, Inc.",4.68,0.21413276,0.01,Neutral,498487,52061019.483871,,-14.72,168,Health,Technology,,,,,,,,,
ACRE,Ares,Commercial,Real,Estate,Corporation,15.69,1.55339806,0.24,Buy,1115419,733698388,8.89965792,1.7666,1450,Finance,,,,,,
ACRS,"Aclaris Therapeutics, Inc.",17.085,-3.1462585,-0.555,Neutral,1417741,1045870280.80604,,-1.459,60,Health,Technology,,,,,,,,,
ACRX,"AcelRx Pharmaceuticals, Inc.",1.005,-1.47058824,-0.015,Sell,3075477,119775699,,-0.36,54,Health,Technology,,,,,,,,,
ACTG,Acacia,Research,Corporation,6.63,-3.98262129,-0.275,Buy,1396885,328897279.497623,,-0.5222,20,Commercial,Services,,,,,,,
ACVA,ACV,Auctions,Inc.,20.78,4.5797685,0.91,Sell,4760676,3220788094.11061,,-0.2341,,Retail,Trade,,,,,,,
ACY,AeroCentury,Corp.,34.46,9.85017533,3.09,Buy,145085,53274641.8951049,,-17.5665,9,Finance,,,,,,,,,
ADAP,Adaptimmune,Therapeutics,plc,5.3134,-14.9856,-0.9366,Buy,14143921,842613428,,-0.3686,462,Health,Technology,,,,,,,
ADBE,Adobe,Inc.,662.58,0.55240234,3.64,Buy,7112888,315653116116.319,57.24231089,11.6542,22516,Technology,Services,,,,,,,,
ADC,Agree,Realty,Corporation,71.51,1.88060977,1.32,Neutral,1166577,4973204765,43.88595305,1.6412,49,Finance,,,,,,,,
ADCT,ADC,Therapeutics,SA,27.52,2.80164363,0.75,Buy,561393,2111519786.98795,,-2.6331,208,Health,Technology,,,,,,,
ADES,"Advanced Emissions Solutions, Inc.",6.405,-0.54347826,-0.035,Sell,546031,120755302.696262,3.28943998,1.9626,136,Producer,Manufacturing,,,,,,,,,
ADI,"Analog Devices, Inc.",173.94,2.35377192,4,Strong,Buy,18990209,93477282808.1598,38.10357659,4.6116,15900,Electronic,Technology,,,,,,,,
ADIL,"Adial Pharmaceuticals, Inc",4.22,1.93236715,0.08,Buy,915628,85658219.7609756,,-1.0418,9,Health,Technology,,,,,,,,,
ADM,Archer-Daniels-Midland,Company,63.06,5.29303723,3.17,Strong,Buy,10643752,35039090654.5134,15.24803668,4.1229,39088,Process,Industries,,,,,,,
ADMA,ADMA,Biologics,Inc,1.195,0.42016807,0.005,Sell,7142391,153186602.870833,,-0.7011,407,Health,Technology,,,,,,,
ADMP,Adamis,Pharmaceuticals,Corporation,1.09,1.86915888,0.02,Buy,5708149,162290106.055556,,-0.6225,116,Health,Technology,,,,,,,
